,product,code
0,animals_live,1
1,meat_and_edible_meat_offal,2
2,fish_and_crustaceans_molluscs,3
3,dairy_produce,4
4,animal_orginated_products,5
5,trees_and_other_plants,6
6,vegetables_roots_and_tubers,7
7,fruits_and_nuts,8
8,coffee_and_tea,9
9,cereals,10
10,millin_industry_malt_starches,11
11,oil_seeds_and_leaginous_fruits,12
12,lac_gums_resins_saps,13
13,vegetable plaiting materials,14
14,animal_vegetable_fats,15
15,meat_fish_ crustaceans preparations,16
16,sugar confectionery,17
17,cocoa and cocoa preparations,18
18,cereal flour preparations,19
19,vegetable fruit nuts preparation,20
20,misc edibles,21
21,beverages spirits vinegar,22
22,food industry residues animal fodder,23
23,tobacco and tobacco substitutes,24
24,salt sulphur earths stone,25
25,ores slag and ash,26
26,mineral fuels oils and distillations,27
27,inorganic chemicals,28
28,organic chemicals,29
29,pharmaceutical products,30
30,potash fertilizers,31
31,tanning dying extracts,32
32,essential oils resinoids,33
33,soap organic surface-active,34
34,albuminoidal substances,35
35,explosives pyrotechnic products,36
36,photographic cinematographic goods,37
37,chemical products nes,38
38,plastics and articles thereof,39
39,rubber and articles thereof,40
40,raw hides and skins,41
41,articles of leather,42
42,furskins and artificial fur,43
43,wood and articles of wood,44
44,cork and articles of cork,45
45,manufacture of straw esparto,46
46,pulp of wood or other fibrous cellulosic material,47
47,paper and paperboard,48
48,printed books newspapers,49
49,silk,50
50,wool fine or coarse,51
51,cotton,52
52,vegetable textile fibres,53
53,man-made filaments,54
54,man-made staple fibres,55
55,wadding felt and nonwovens,56
56,carpets and other floor coverings,57
57,fabrics special woven fabrics,58
58,textile fabrics,59
59,fabrics knitted or crocheted,60
60,aparrel and clothing accessories,61
61,apparel and clothing accessories,62
62,textiles made up worn,63
63,footwear gaiters,64
64,headgear,65
65,umbrellas walking sticks,66
66,feathers and down,67
67,stone plaster cement,68
68,ceramic products,69
69,glass and glassware,70
70,pearls precious semi-precious,71
71,iron and steel,72
72,iron or steel articles,73
73,copper and articles thereof,74
74,nickle and articles thereof,75
75,aluminium and articles thereof,76
76,lead and articles thereof,78
77,zinc and articles thereof,79
78,tin and articles thereof,80
79,metals nes cement,81
80,tools implements cutlery,82
81,metal; misc products base metal,83
82,nuclear reactors boilers turbines,84
83,electrical machinery and equipment,85
84,railway tramway locomotives,86
85,vehicles other than railway or tramway,87
86,aircraft spacecraft,88
87,ships boats and floating ,89
88,optical photographic cinematographic,90
89,clocks and watches parts,91
90,musical instruments,92
91,arms and amunition,93
92,furniture bedding mattresses,94
93,toys games and sports requisites,95
94,misc manufactured articles,96
95,works of art collectors pieces,97
